132921	
	(-0.1642341067,0.8293887955)	(-0.05483036145,-0.04565142425)	(-0.1131177629,0.8400039082)	(-0.05145638692,-0.04519229073)	(-0.1371341948,0.8354727053)
	(0.01301094835,-0.000221981879)	(-0.07074765091,-0.0637126904)	(-0.146992764,0.8322259785)	(-0.05829390305,-0.04597070171)	(-0.08899852466,0.8437525218)
	(0.01431348975,-0.0007143897574)	(-0.08657014699,-0.0701483279)	(-0.09895293175,0.8404226112)	(-0.08259910377,-0.07065350475)	(-0.1230968094,0.8364051861)
	(-0.08701822008,-0.06614352735)	(-0.07115069113,0.8443936934)	(-0.04419177848,-0.04368610698)	(-0.1912020633,0.8222994282)	(0.01154854586,0.0003333508603)
	(-0.06665521556,-0.06370360012)	(-0.1740997006,0.8258259493)	(-0.06668214455,-0.06715348715)	(-0.1978572398,0.8191165569)	(-0.04473004818,-0.04690155352)
	(-0.2181818482,0.8140024261)	(1.850908683e-33,1.589526816e-32)	(-0.3588078138,0.7561437211)	(5.082889386e-33,1.60193584e-32)	(-0.2775143277,0.7925001975)
	(-0.000320865607,0.003151277504)	(-0.02239369464,-0.02569555442)	(-0.2615306608,0.7990994088)	(3.947090027e-33,1.518430818e-32)	(-0.3047118788,0.7806858233)
	(2.726527939e-33,1.423003819e-32)	(-0.3317819824,0.7678169993)	(-0.0004583796198,0.003446611472)	(-0.02423325777,-0.0294906587)	(-0.2887984394,0.7879211644)
	(-0.01932069595,-0.02951920869)	(-0.3412630947,0.7645877909)	(-0.02276490518,-0.03038473104)	(-0.3160247092,0.7760407499)	(-0.04646995791,-0.0548089948)
	(-0.2723551438,0.7940963054)	(-0.04519081769,-0.05023112796)	(-0.2450380456,0.8046949402)	(0.01227245461,0.0004493371423)	(-0.06664673818,-0.07119577533)
	(-0.2247955387,0.8105267397)	(-0.0673440967,-0.07631271856)	(-0.2517808647,0.8007964782)	(-0.2251970926,-0.03304129516)	(0.3618576903,0.7668635847)
	(0.03177627294,-0.02443267809)	(-0.2533522073,-0.01685493708)	(0.425745198,0.7297595193)	(-0.2238312248,-0.0263601046)	(0.3844307656,0.7560917025)
	(-0.2486680171,-0.03938545794)	(0.3540414026,0.7675957284)	(-0.2583353103,-0.03315584088)	(0.3780083449,0.7549897345)	(-0.2570061879,-0.0256702636)
	(0.4001237941,0.7437247726)	(-0.2221266393,-0.01974623442)	(0.406785126,0.7445310777)	(0.02886576586,-0.02723940954)	(-0.2814913236,-0.03922909558)
	(0.3703970128,0.7554590099)	(-0.12954034,-0.06973868756)	(0.07234817922,0.8456000374)	(0.02887718203,-0.004399050565)	(-0.1237964898,-0.07245889277)
	(0.0395185522,0.8472992715)	(-0.1646849163,-0.08600308981)	(0.08643497821,0.8411508571)	(-0.1552408631,-0.08737977848)	(0.05719896855,0.8436648853)
	(-0.1151009693,-0.08992052928)	(-0.0805824085,0.8405456309)	(-0.1181828314,-0.0749770704)	(0.006865273789,0.8476356142)	(0.02742442391,-0.003802535208)
	(-0.1438663603,-0.1016991233)	(-0.03535635036,0.8423927969)	(-0.1172076335,-0.07995011804)	(-0.02299231627,0.8463537404)	(-0.1455238882,-0.09573505231)
	(-0.00557120967,0.8442518705)	(-0.1489240593,-0.09101963351)	(0.0243885544,0.8447396753)	(-0.1161586053,-0.08503230254)	(-0.05270798622,0.8439106651)
	(0.02804495557,-0.003646747321)	(-0.139178598,-0.1048349722)	(-0.06252455819,0.8400831081)	(-0.1954853771,-0.05734114335)	(0.2468023255,0.8120100785)
	(-0.1910710167,-0.04952147643)	(0.272264706,0.8049825206)	(0.0308046248,-0.01629443578)	(-0.2149899695,-0.05093525903)	(0.2908620139,0.7964866628)
	(-0.2220725902,-0.05936465407)	(0.2680045765,0.8030799484)	(-0.189873479,-0.1037498935)	(0.07177415226,0.8387419939)	(-0.1994230211,-0.06547346191)
	(0.2211791183,0.8181037398)	(0.03550370055,-0.0139633194)	(-0.2049888639,-0.07494528854)	(0.1945879738,0.8231874304)	(-0.2260446114,-0.06804374591)
	(0.2428311408,0.8097645389)	(-0.2293458638,-0.0763200074)	(0.2195567727,0.815074935)	(-0.2000536093,-0.1011481992)	(0.1011789371,0.8356462905)
	(0.04404447675,-0.007732685872)	(-0.226234573,-0.1102327861)	(0.1133840264,0.8311832348)	(-0.2205434485,-0.117860223)	(0.08350585216,0.8335770667)
	(-0.2052957424,-0.09303457796)	(0.1347482424,0.8321379224)	(-0.2344543468,-0.08665355954)	(0.1932973619,0.819842009)	(-0.209992412,-0.08486361008)
	(0.1678705793,0.8272452946)	(0.0411086717,-0.01185993811)	(-0.2315713769,-0.1012013821)	(0.1465273701,0.8273079087)	(-0.2360945122,-0.09494293597)
	(0.1705564365,0.8234523315)	(-0.2869476077,-0.05676748725)	(0.3252248199,0.7745256129)	(-0.2704577446,-0.05976674629)	(0.306449892,0.7840901292)
	(-0.245774981,-0.06016848324)	(0.2866599024,0.7942978463)	(-0.2552549001,-0.04905686812)	(0.3279680548,0.7778822263)	(-0.2716652491,-0.04605190277)
