22269	
	(0.002221259444,0.001521187872)	(0.0064701799,0.006007721423)	(0.00223974835,0.001571125595)	(0.004818316433,0.006497649825)	(0.0007501826606,0.0004887371691)
	(-0.01916929005,-0.0197119617)	(0.004969762241,0.006503496687)	(0.0008374811484,0.00057623778)	(0.005427892069,0.007180312811)	(0.0008596125778,0.0004893954714)
	(0.005599589621,0.007151881985)	(0.0009706901022,0.000602152622)	(0.005339233118,0.006291703115)	(0.001166690653,0.000892322295)	(0.005154613839,0.00639903001)
	(0.0009945450955,0.000736299977)	(0.005809677922,0.00685531063)	(0.001229950582,0.000869759576)	(0.005185148955,0.006290650094)	(0.001061530233,0.0008071416043)
	(-0.01933789996,-0.01886411417)	(0.005773626203,0.006966625563)	(0.001155987152,0.0007941724032)	(0.005131748588,0.006516899389)	(0.0009319084091,0.0006638594148)
	(-0.01926223373,-0.0192834795)	(0.005763821016,0.007150842748)	(0.001071673749,0.0006936873218)	(0.006765175331,0.008343079363)	(0.001191534483,0.0005714527953)
	(0.006024145239,0.007818267318)	(0.0009678993936,0.0004765940268)	(-0.01903109096,-0.01979718276)	(0.006196270437,0.007773358695)	(0.001084299975,0.0005942447631)
	(0.006586534622,0.008403575614)	(0.001066937097,0.0004460923241)	(0.00550380762,0.006299260988)	(0.001280364293,0.0009784527059)	(-0.01936901884,-0.01838786809)
	(0.005589980733,0.006217700219)	(0.001384972666,0.001062314017)	(0.006182101148,0.006838093236)	(0.00149986931,0.001069570726)	(0.005966639943,0.006843347271)
	(0.001343387945,0.0009578367791)	(0.002420702911,0.004933898555)	(5.210797283e-05,-0.0003048502704)	(0.002689238782,0.005062148289)	(0.0001144045569,-0.0001794452349)
	(0.002574321727,0.005031056717)	(8.313488652e-05,-0.000244724783)	(-0.01845941192,-0.021354292)	(0.003403333453,0.00623757182)	(0.0001728607171,-0.0002880246381)
	(0.003203526065,0.006118083132)	(0.0001291736334,-0.0003612863685)	(0.003708345551,0.005930640012)	(0.000344373286,7.722376992e-05)	(0.004748000948,0.007190794225)
	(0.0005078487645,7.497551957e-05)	(0.005000353017,0.007264912688)	(0.0006067617668,0.0001898460634)	(0.004309295173,0.006575759757)	(0.0004613081227,0.0001316442266)
	(-0.01887427665,-0.02050685011)	(0.002962110998,0.0051704903)	(0.0001931465592,-4.367801435e-05)	(0.002813694502,0.005104532859)	(0.0001499536857,-0.0001136221443)
	(-0.01866449081,-0.02106998269)	(0.003539159704,0.006266366493)	(0.0002130556556,-0.0002110515221)	(0.003566930974,0.006144911422)	(0.0002435169493,-0.0001282676613)
	(0.003122669717,0.005248072563)	(0.0002421227866,2.773956411e-05)	(-0.01885048437,-0.0207359744)	(0.004150926152,0.006584623745)	(0.0003885106759,2.469118386e-05)
	(0.003733829127,0.006203930575)	(0.0002965286645,-4.748199871e-05)	(3.457568653e-35,2.186785876e-35)	(-8.624493671e-35,-5.732193713e-35)	(-0.01741632705,-0.01146060443)
	(0.0006695511141,0.0004734577742)	(0.0004323127027,0.0003013614848)	(0.0007033007067,0.0005133761855)	(0.0004356997503,0.0003133323531)	(6.494544359e-35,4.076405944e-35)
	(-1.634711018e-34,-1.071765382e-34)	(7.90518343e-35,4.892062691e-35)	(-1.709643348e-34,-1.088672249e-34)	(0.0006777818828,0.0004679907946)	(0.0004463992243,0.0003038036732)
	(3.49935266e-35,2.177136708e-35)	(-8.43810293e-35,-5.457472399e-35)	(-0.01711079242,-0.01097709469)	(0.0007417607493,0.0004995391518)	(0.0005112942688,0.0003389188026)
	(0.001353235183,0.0009707099999)	(0.0008438250712,0.0005876066274)	(0.003441459095,0.002748152525)	(0.001731397038,0.001261521385)	(0.004521714963,0.003583451784)
	(0.002224579077,0.001551050358)	(0.004130935958,0.003235581856)	(0.002096328534,0.001466990211)	(0.003910300238,0.003175058162)	(0.001890096774,0.001375967724)
	(-0.0186013283,-0.01392625779)	(0.00204976647,0.001524768334)	(0.001189961667,0.000844012959)	(0.001785554561,0.001286612394)	(0.001093326893,0.0007567184205)
	(0.001422011679,0.001052401358)	(0.0008438439048,0.0006049635266)	(-0.01780969948,-0.01215226197)	(0.002266386862,0.001637139673)	(0.001366141305,0.0009366663126)
	(0.002812073904,0.002153129049)	(0.0015367703,0.001098067723)	(0.003270124735,0.002409128968)	(0.001865835528,0.001268208377)	(0.003414465637,0.002577087212)
	(0.001873395036,0.001297283347)	(0.002982100398,0.002339002706)	(0.001563834261,0.001136775772)	(-0.01833113866,-0.01324213074)	(0.002859192225,0.002075204288)
